Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Beijing,472.506999,428.39002,381.288767,352.808965,330.619636,302.425575,276.440381,240.394822,207.142151,189.805328,170.301107,143.474373,127.111435,120.784985,110.169637,109.047258,110.191976,112.795576,113.943854,111.604695,106.082227,94.1684211,82.7491767,65.3715753,55.7715544
Tianjin,360.388382,348.100234,322.444726,310.931791,294.79506,272.540266,251.440516,214.922181,185.267241,173.887422,141.545675,124.866816,117.781665,108.889394,105.139886,109.231082,124.616234,142.895046,165.850829,174.663278,171.824728,157.133053,136.853157,109.878561,89.5249169
Hebei,268.077232,263.715566,252.765519,252.693893,242.191332,227.370038,213.310363,184.546738,162.522207,160.1197,146.236647,132.942268,129.355426,121.56051,120.265682,127.236364,157.396862,199.68171,255.471986,294.737535,290.719118,272.746445,225.615202,181.836243,162.113135
Shanxi,203.517955,172.555996,172.473521,178.932838,187.134309,190.064805,189.025231,163.45461,134.422908,138.864844,124.343653,109.287858,103.944226,103.428034,104.587179,111.554702,123.001818,147.6576,177.162593,211.70565,207.594937,187.806686,159.648368,124.496988,109.390675
Inner Mongolia,359.210221,415.11564,423.752614,437.258612,423.76002,405.737864,373.566077,314.270328,276.790281,268.272813,226.088701,195.502175,169.122131,153.048314,151.546954,160.806959,172.069277,214.063978,277.527163,297.068235,286.942786,267.824607,230.392473,178.220513,142.655172
Liaoning,238.6263,222.758586,285.065328,286.753281,281.128306,265.993256,246.361117,209.694047,178.44563,166.608727,143.536899,129.139764,122.039126,114.344473,116.735511,121.159156,135.188826,151.642092,176.916455,194.865964,190.353879,172.834702,155.706243,143.711617,129.230077
Jilin,232.093959,230.060719,222.271693,223.243409,217.621351,206.204491,187.790156,159.213446,137.076271,127.476691,112.392386,98.2560331,88.8846059,86.1957482,83.3201878,88.7245939,97.3530762,107.818232,119.839542,133.761662,132.880218,128.265714,112.820437,98.5010504,83.2653534
Heilongjiang,216.598747,209.078543,205.164173,205.849713,201.349909,194.344642,177.211268,144.188569,121.13133,122.612741,111.891636,104.929054,101.935663,102.009878,103.45232,108.573134,124.91157,149.99524,182.450668,221.77458,229.956897,204.353448,174.684211,147.238532,124.822917
Shanghai,594.93086,547.477171,491.076036,465.213186,432.213748,398.375839,375.429102,332.867559,293.417512,279.774508,257.66158,226.726142,208.939449,194.19846,176.862087,173.131182,186.075714,210.369048,224.837896,230.229558,223.588427,199.969574,173.451076,141.799145,115.971756
Jiangsu,485.71616,443.282621,408.67506,383.188037,354.724666,323.469483,295.951971,251.154844,208.402685,197.011192,176.719962,166.452687,160.361183,150.820265,144.735024,151.483148,161.517336,189.324701,233.408733,270.674812,279.512134,272.176337,247.135666,201.359305,166.379578
Zhejiang,516.494662,474.363618,432.716073,410.683194,393.461755,371.825914,356.130579,313.28184,265.324293,257.903028,241.050514,218.342409,206.013819,203.364176,200.475522,203.603918,235.357898,319.180353,392.779221,445.164758,458.075269,434.04456,382.944026,307.697941,259.906883
Anhui,235.471501,213.166987,194.619528,192.954651,182.771029,168.250733,154.349339,131.622258,114.636819,109.509588,100.765503,92.0973331,90.8193855,94.9391582,95.6856098,106.625871,128.735527,151.308133,203.935338,242.417541,244.5125,234.149888,205.756818,150.562144,128.041975
Fujian,428.523169,380.890799,342.515755,321.386239,299.363313,280.892216,260.227919,227.494906,201.823025,192.374867,181.521688,164.401691,161.048894,176.952717,193.615773,226.434364,243.300478,272.990573,332.767057,371.317274,367.59283,338.453678,292.175732,237.285714,173.822153
