Region,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
Beijing,59.29,59.92,60.36,60.46,59.89,59.12,58.79,58.71,58.67,58.56,57.82,56.58,54.83,49.95,45.45,39.57,33.65,28.03,23.51,21.3,19.58,19,18.22,17.52,15.89
Tianjin,51.47,51.38,51.29,50.58,48.99,47.31,44.97,42.92,40.6,38.64,37.11,35.74,33.16,28.57,24.52,19.69,15.4,11.91,9.05,7.87,7.36,7.14,6.81,6.67,6.02
Hebei,126.89,121.61,117.92,116.43,117.44,116.88,114.93,110.51,106.05,100,93.05,86.26,77.4,69.74,57.55,47.3,35.05,25.26,17.67,14.44,13.6,12.66,12.63,12.03,10.43
Shanxi,76.3,75.63,74.02,71.32,67.68,63.73,59.45,56.29,54.74,52.68,48.45,44.64,40.7,34.53,27.3,20.84,16.5,12.5,9.41,7.61,7.11,6.88,6.74,6.64,6.22
Inner Mongolia,44.81,43.67,42.08,40.64,39.92,39.14,38.44,37.14,35.19,31.67,28.41,25.29,23.09,19.87,15.76,12.07,9.96,7.19,4.97,4.25,4.02,3.82,3.72,3.9,3.77
Liaoning,98.1,99.87,100.57,99.83,96.8,93.41,90.22,88.02,85.25,82.04,77.78,72.05,65.94,58.35,51.42,45.05,37.23,30.79,23.58,19.92,18.82,18.27,17.94,17.13,15.56
Jilin,64.39,64.23,63.27,61.83,59.95,57.9,56.28,54.44,53.1,50.41,47.02,43.51,40.73,36.22,31.95,26.47,21.78,18.1,13.96,11.79,11.02,10.5,10.08,9.52,8.63
Heilongjiang,73.42,73.59,73.52,73.06,71.79,70.45,71,71.91,70.89,67.81,63.49,59.2,54.09,46.57,39.22,33.5,27.14,21.01,15.71,12.51,11.6,11.6,11.4,10.9,9.6
Shanghai,51.49,51.47,51.16,50.66,50.48,50.66,51.13,51.57,51.28,50.29,48.49,46.63,44.26,41.57,37.85,33.16,28,22.68,18.63,16.51,15.38,14.79,14.41,14.04,13.1
Jiangsu,176.79,174.58,171.57,169.86,168.45,167.12,165.94,164.94,165.34,157.26,147.23,130.62,115.98,99.48,85.97,70.02,58.55,45.18,32.98,26.6,23.9,22.06,20.86,20.15,18.02
